method,token_length,needle_depth,accuracy,samples,rouge_l_f1
block_wise,7424,100,0.0,3,0.26086956294896035
block_wise,7680,0,0.0,3,0.21142659545068013
block_wise,7680,10,0.0,3,0.17664398679333929
block_wise,7680,20,0.0,3,0.17521367108946975
block_wise,7680,30,0.0,3,0.2868291712379895
block_wise,7680,40,0.0,3,0.20444444029814823
block_wise,7680,50,0.0,3,0.20707070293273655
block_wise,7680,60,0.0,3,0.34698701689855116
block_wise,7680,70,0.0,3,0.21299144888761787
block_wise,7680,80,1.0,3,0.7096774147762748
block_wise,7680,90,0.0,3,0.36352656592157206
block_wise,7680,100,0.0,3,0.26086956294896035
block_wise,7936,0,0.0,3,0.5635632138014319
block_wise,7936,10,0.0,3,0.2025476809210203
block_wise,7936,20,0.0,3,0.1891025592839142
block_wise,7936,30,0.0,3,0.6208149879016597
block_wise,7936,40,0.0,3,0.37741545411601646
block_wise,7936,50,0.6666666666666666,3,0.7231182749550165
block_wise,7936,60,1.0,3,0.7096774147762748
block_wise,7936,70,1.0,3,0.7096774147762748
block_wise,7936,80,1.0,3,0.7096774147762748
block_wise,7936,90,0.6666666666666666,3,0.5286738311471462
block_wise,7936,100,0.0,3,0.26086956294896035
block_wise,8192,0,0.0,3,0.595855374578866
block_wise,8192,10,0.0,3,0.3634751724830712
block_wise,8192,20,0.0,3,0.13015383069764666
block_wise,8192,30,0.0,3,0.25687469619914316
block_wise,8192,40,0.6666666666666666,3,0.611559135712462
block_wise,8192,50,0.6666666666666666,3,0.7231182749550165
block_wise,8192,60,0.6666666666666666,3,0.6800148268147818
block_wise,8192,70,0.3333333333333333,3,0.7365591351337581
block_wise,8192,80,0.3333333333333333,3,0.554586345970172
block_wise,8192,90,0.3333333333333333,3,0.4249649329657526
block_wise,8192,100,0.0,3,0.2805797075659736
chunkkv,256,0,0.0,3,0.11993651233420627
chunkkv,256,10,0.0,3,0.13434497954311633
chunkkv,256,20,0.0,3,0.12788660126836796
chunkkv,256,30,0.0,3,0.12295538022512831
chunkkv,256,40,0.0,3,0.14829476458612137
chunkkv,256,50,0.0,3,0.3190177591655849
chunkkv,256,60,0.3333333333333333,3,0.5040617475091915
chunkkv,256,70,1.0,3,0.7096774147762748
chunkkv,256,80,1.0,3,0.7096774147762748
chunkkv,256,90,1.0,3,0.7096774147762748
chunkkv,256,100,0.0,3,0.26086956294896035
chunkkv,512,0,0.0,3,0.29739428468678475
chunkkv,512,10,0.0,3,0.14508570246297406
chunkkv,512,20,0.0,3,0.14508570246297406
chunkkv,512,30,0.0,3,0.11924769429092719
chunkkv,512,40,0.0,3,0.13131405930969176
chunkkv,512,50,0.0,3,0.15373934747368762
chunkkv,512,60,0.0,3,0.43764568285238586
chunkkv,512,70,0.3333333333333333,3,0.6503522388532886
chunkkv,512,80,1.0,3,0.7096774147762748
chunkkv,512,90,0.6666666666666666,3,0.7231182749550165
chunkkv,512,100,0.0,3,0.26086956294896035
chunkkv,768,0,0.0,3,0.5628930770696126
chunkkv,768,10,0.0,3,0.3807692260288216
chunkkv,768,20,0.0,3,0.17468296165823363
chunkkv,768,30,0.0,3,0.37220403232754823
chunkkv,768,40,0.0,3,0.37220403232754823
chunkkv,768,50,0.0,3,0.14152840148933785
chunkkv,768,60,0.0,3,0.43695651775382016
chunkkv,768,70,0.6666666666666666,3,0.7231182749550165
chunkkv,768,80,0.3333333333333333,3,0.7365591351337581
chunkkv,768,90,1.0,3,0.7096774147762748
chunkkv,768,100,0.0,3,0.3072463742326403
chunkkv,1024,0,0.0,3,0.3949308370910922
chunkkv,1024,10,0.0,3,0.2523402474835996
chunkkv,1024,20,0.0,3,0.25767949906206583
chunkkv,1024,30,0.0,3,0.35570381523868494
chunkkv,1024,40,0.0,3,0.42202728551983243
chunkkv,1024,50,0.0,3,0.2676991922563267
chunkkv,1024,60,0.0,3,0.21405982426154954
chunkkv,1024,70,0.0,3,0.32502373699535814
chunkkv,1024,80,0.3333333333333333,3,0.5337446759422058
chunkkv,1024,90,1.0,3,0.7096774147762748
chunkkv,1024,100,0.0,3,0.26086956294896035
chunkkv,1280,0,0.3333333333333333,3,0.5532258017629249
chunkkv,1280,10,0.3333333333333333,3,0.3156189641203078
chunkkv,1280,20,0.3333333333333333,3,0.7023976442743298
chunkkv,1280,30,0.0,3,0.4698034721273036
chunkkv,1280,40,0.0,3,0.19869280566838407
chunkkv,1280,50,0.0,3,0.41915182610500734
chunkkv,1280,60,0.0,3,0.5590705438579596
chunkkv,1280,70,0.3333333333333333,3,0.7365591351337581
chunkkv,1280,80,0.6666666666666666,3,0.500329159260818
chunkkv,1280,90,1.0,3,0.7096774147762748
chunkkv,1280,100,0.0,3,0.26086956294896035
chunkkv,1536,0,0.0,3,0.19317356098967964
chunkkv,1536,10,0.0,3,0.20329931489708084
chunkkv,1536,20,0.0,3,0.24213286228169506
chunkkv,1536,30,0.0,3,0.33421985334346144
chunkkv,1536,40,0.0,3,0.3302429619041043
chunkkv,1536,50,0.0,3,0.33853534866209073
chunkkv,1536,60,0.0,3,0.4975490148358405
chunkkv,1536,70,0.0,3,0.47724637201078296
chunkkv,1536,80,1.0,3,0.7096774147762748
chunkkv,1536,90,1.0,3,0.7096774147762748
chunkkv,1536,100,0.0,3,0.26086956294896035
chunkkv,1792,0,0.0,3,0.1314871812721923
chunkkv,1792,10,0.0,3,0.5722506345706145
chunkkv,1792,20,0.0,3,0.3351851810506688
chunkkv,1792,30,0.0,3,0.3580609973809264
chunkkv,1792,40,0.0,3,0.3888888840856482
chunkkv,1792,50,0.6666666666666666,3,0.5244003262216586
chunkkv,1792,60,0.6666666666666666,3,0.7231182749550165
chunkkv,1792,70,0.6666666666666666,3,0.7231182749550165
chunkkv,1792,80,0.6666666666666666,3,0.5185728203191694
chunkkv,1792,90,1.0,3,0.7096774147762748
chunkkv,1792,100,0.0,3,0.26086956294896035
chunkkv,2048,0,0.0,3,0.35324674843874754
chunkkv,2048,10,0.0,3,0.36259258778400216
chunkkv,2048,20,0.0,3,0.18626262219400078
chunkkv,2048,30,0.0,3,0.30105766766753334
chunkkv,2048,40,0.0,3,0.49278409542963847
chunkkv,2048,50,0.0,3,0.445794254942935
chunkkv,2048,60,0.6666666666666666,3,0.725370527114059
chunkkv,2048,70,0.6666666666666666,3,0.5425627193415906
chunkkv,2048,80,1.0,3,0.7096774147762748
chunkkv,2048,90,1.0,3,0.7096774147762748
chunkkv,2048,100,0.0,3,0.26086956294896035
chunkkv,2304,0,0.0,3,0.14957371985558018
chunkkv,2304,10,0.0,3,0.1866666618666668
chunkkv,2304,20,0.0,3,0.1698063793258399
chunkkv,2304,30,0.0,3,0.28223981421711297
chunkkv,2304,40,0.0,3,0.18672001654229775
chunkkv,2304,50,0.0,3,0.36869280570588403
chunkkv,2304,60,0.0,3,0.2813605394072471
chunkkv,2304,70,0.0,3,0.22435640444165408
chunkkv,2304,80,0.6666666666666666,3,0.7231182749550165
chunkkv,2304,90,0.6666666666666666,3,0.7131182749175166
chunkkv,2304,100,0.0,3,0.26086956294896035
chunkkv,2560,0,0.0,3,0.3685243280591978
chunkkv,2560,10,0.0,3,0.22828282340956543
chunkkv,2560,20,0.0,3,0.5278185329206714
chunkkv,2560,30,0.0,3,0.24307298191800084
chunkkv,2560,40,0.0,3,0.35997731946972816
chunkkv,2560,50,0.0,3,0.18545189549182103
chunkkv,2560,60,0.0,3,0.2738834618207549
chunkkv,2560,70,0.0,3,0.3068099531652564
chunkkv,2560,80,0.3333333333333333,3,0.600034312371526
chunkkv,2560,90,0.6666666666666666,3,0.500329159260818
chunkkv,2560,100,0.0,3,0.26086956294896035
chunkkv,2816,0,0.0,3,0.41810959804844355
chunkkv,2816,10,0.0,3,0.16599064958137008
chunkkv,2816,20,0.0,3,0.3266750048292881
chunkkv,2816,30,0.3333333333333333,3,0.3468199060030046
